loss,actor_loss,critic_loss,mean_entropy,mean_reward,mean_value,mean_returns,mean_advantage,gradient_norm
-0.0792,-0.0910,0.0508,1.3598,0.2896,1.1784,1.2805,0.0328,2.6841
-0.0305,-0.0382,0.0427,1.3601,0.2985,1.1394,1.1404,-0.0022,1.1518
-0.0062,-0.0115,0.0326,1.1084,0.2722,1.0555,1.0628,-0.0480,0.5232
0.1667,0.1426,0.0632,0.7528,0.2916,1.0589,0.9761,-0.1974,1.4643
-0.0306,-0.0481,0.0501,0.7555,0.2250,1.0320,0.9538,-0.0097,0.9875
-0.1874,-0.1836,0.0119,0.9839,0.3077,1.2291,1.2599,0.1012,1.1330
-0.0663,-0.0780,0.0390,0.7774,0.2683,1.0498,1.0496,0.1083,6.3197
0.0299,0.0242,0.0282,0.8382,0.2475,0.9978,1.0138,-0.1043,0.7957
-0.0644,-0.0759,0.0360,0.6535,0.2872,1.0172,1.0726,0.0197,0.6955
0.0213,0.0006,0.0609,0.9739,0.2131,0.9148,0.8622,-0.0649,0.7425
-0.0808,-0.1091,0.0723,0.7797,0.2579,1.0865,1.0989,0.0398,0.6382
0.0228,0.0008,0.0603,0.8145,0.2788,1.1621,1.1112,-0.0648,0.7327
-0.0152,-0.0122,0.0127,0.9361,0.2781,1.1712,1.1788,-0.0422,2.4515
-0.0732,-0.0781,0.0270,0.8629,0.3147,1.1328,1.1672,-0.0163,0.9217
-0.0857,-0.0795,0.0074,0.9849,0.2744,1.2511,1.2044,-0.0165,0.9504
-0.1443,-0.1550,0.0350,0.6818,0.2903,0.9456,1.0446,0.1144,1.1470
-0.0378,-0.0649,0.0687,0.7282,0.2550,1.0504,1.0213,-0.0033,0.4768
0.0608,0.0367,0.0620,0.6900,0.2471,1.1086,0.9900,-0.0985,2.2502
-0.1201,-0.1186,0.0141,0.8519,0.3220,1.1985,1.1860,0.0686,0.6958
-0.0127,-0.0155,0.0185,0.6488,0.3258,1.0732,1.1171,-0.0242,2.3554
-0.0627,-0.0716,0.0363,0.9253,0.3099,1.1267,1.1136,0.0132,1.0228
0.0476,0.0497,0.0161,1.0153,0.3019,1.3330,1.2542,-0.0305,3.2205
0.0403,0.0290,0.0457,1.1520,0.2622,1.1990,1.1789,-0.0805,0.7562
-0.1482,-0.1412,0.0106,1.2301,0.2734,1.2296,1.2290,0.1342,1.7523
0.0814,0.0733,0.0397,1.1765,0.2777,1.2906,1.2407,-0.0929,2.6287
-0.0838,-0.0772,0.0092,1.1169,0.2631,1.2102,1.2063,-0.0055,0.7937
-0.1033,-0.0962,0.0072,1.0695,0.2720,1.2504,1.2415,0.0293,2.2215
0.0895,0.0839,0.0310,0.9903,0.3133,1.1994,1.1753,-0.1464,1.1211
0.0128,0.0193,0.0041,0.8517,0.2776,1.2812,1.2756,-0.0288,2.7203
0.0283,0.0326,0.0100,0.9358,0.2969,1.2853,1.3097,-0.0788,2.7996
0.0393,0.0343,0.0334,1.1782,0.2539,1.1965,1.1568,-0.0943,0.6062
-0.0015,-0.0238,0.0614,0.8458,0.2899,1.1622,1.1200,-0.0312,0.4937
-0.0598,-0.0582,0.0134,0.8320,0.3620,1.2930,1.3223,-0.0136,2.1028
0.0482,0.0539,0.0066,0.9095,0.2590,1.3007,1.3004,-0.0573,2.4176
-0.1058,-0.0987,0.0059,1.0061,0.2944,1.2084,1.2424,0.0418,2.5992
-0.0684,-0.0666,0.0201,1.1846,0.1928,1.1476,1.1360,-0.0000,0.7535
-0.1414,-0.1695,0.0718,0.7782,0.2571,1.0764,1.1431,0.1132,1.2639
-0.0283,-0.0307,0.0238,0.9503,0.2992,1.2400,1.2457,-0.0266,0.5234
-0.0159,-0.0093,0.0084,1.0834,0.2822,1.2564,1.2507,-0.0721,2.6628
-0.0839,-0.0779,0.0076,0.9765,0.2478,1.2211,1.2165,-0.0053,1.5953
-0.1088,-0.1104,0.0254,1.1124,0.2759,1.1274,1.1475,0.0541,1.4836
0.0739,0.0156,0.1293,0.6369,0.2459,0.8551,0.8388,-0.0736,0.8210
-0.0077,-0.0094,0.0188,0.7793,0.2384,1.0739,1.1029,-0.0493,0.5696
-0.0303,-0.0458,0.0464,0.7676,0.2736,0.9764,1.0313,-0.0063,1.9891
